Vendor,SKU,Tags,Country,Short Link,Android Link,IOS Link,Web Page URL,UTM Parameter Source,Utm Parameter Medium,UTM Parameter Compaign,Utm Parameter Content
Forage,Onboarding Form,"Merchant, Onboarding Form",Netherlands,https://getforage.info/onboarding,https://forms.gle/HUAGymqWi3mKsZx99,https://forms.gle/HUAGymqWi3mKsZx99,https://forms.gle/HUAGymqWi3mKsZx99,Google Form,Onboarding,Onboarding Form,Merchant Sign Up
Forage,Home Page,"Home Page, products_demo, demo",Netherlands,https://getforage.info/products,https://forms.gle/yjXnuoGrCLz3ZBn7A,https://forms.gle/yjXnuoGrCLz3ZBn7A,https://forms.gle/yjXnuoGrCLz3ZBn7A,Google Form,Product Submission,Product Submission Form,Merchant Product Submission
