Vendor,SKU,Tags,Country,Short Link,Android Link,IOS Link,Web Page URL,UTM Parameter Source,Utm Parameter Medium,UTM Parameter Compaign,Utm Parameter Content
Forage,Home Page,"Home Page, retail_demo, demo",Netherlands,getforage.info/forage/retail_demo,getforage.co,getforage.co,getforage.co,Home Page,QR,Demo,Retail Icon
Forage,Home Page,"Home Page, products_demo, demo",Netherlands,getforage.info/forage/products_demo,getforage.co,getforage.co,getforage.co,Home Page,QR,Demo,Product Icon
Forage,Home Page,"Home Page, events_demo, demo",Netherlands,getforage.info/forage/events_demo,getforage.co,getforage.co,getforage.co,Home Page,QR,Demo,Events Icon
Forage,Home Page,"Home Page, online_demo, demo",Netherlands,getforage.info/forage/online_demo,getforage.co,getforage.co,getforage.co,Home Page,QR,Demo,Online Icon
